,abbrev,description
162,acc-phys,
152,adap-org,
136,alg-geom,
163,ao-sci,
88,astro-ph,Astrophysics
131,astro-ph.CO,
142,astro-ph.EP,
129,astro-ph.GA,
148,astro-ph.HE,
159,astro-ph.IM,
145,astro-ph.SR,
146,atom-ph,
130,bayes-an,
144,chao-dyn,
158,chem-ph,
150,cmp-lg,
138,comp-gas,
147,cond-mat,
89,cond-mat.dis-nn,Physics - Disordered Systems and Neural Networks
90,cond-mat.mes-hall,Physics - Mesoscopic Systems and Quantum Hall Effect
91,cond-mat.mtrl-sci,Physics - Materials Science
92,cond-mat.other,Physics - Other
149,cond-mat.quant-gas,
93,cond-mat.soft,Physics - Soft Condensed Matter
94,cond-mat.stat-mech,Physics - Statistical Mechanics
95,cond-mat.str-el,Physics - Strongly Correlated Electrons
96,cond-mat.supr-con,Physics - Superconductivity
16,cs.AI,Computer Science - Artificial Intelligence
15,cs.AR,Computer Science - Architecture
18,cs.CC,Computer Science - Computational Complexity
19,cs.CE,Computer Science - Computational Engineering; Finance; and Science
20,cs.CG,Computer Science - Computational Geometry
17,cs.CL,Computer Science - Computation and Language
24,cs.CR,Computer Science - Cryptography and Security
22,cs.CV,Computer Science - Computer Vision and Pattern Recognition
23,cs.CY,Computer Science - Computers and Society
26,cs.DB,Computer Science - Databases
29,cs.DC,Computer Science - Distributed; Parallel; and Cluster Computing
27,cs.DL,Computer Science - Digital Libraries
28,cs.DM,Computer Science - Discrete Mathematics
25,cs.DS,Computer Science - Data Structures and Algorithms
140,cs.ET,
151,cs.FL,
30,cs.GL,Computer Science - General Literature
31,cs.GR,Computer Science - Graphics
21,cs.GT,Computer Science - Computer Science and Game Theory
32,cs.HC,Computer Science - Human-Computer Interaction
33,cs.IR,Computer Science - Information Retrieval
34,cs.IT,Computer Science - Information Theory
35,cs.LG,Computer Science - Learning
36,cs.LO,Computer Science - Logic in Computer Science
38,cs.MA,Computer Science - Multiagent Systems
39,cs.MM,Computer Science - Multimedia
37,cs.MS,Computer Science - Mathematical Software
42,cs.NA,Computer Science - Numerical Analysis
41,cs.NE,Computer Science - Neural and Evolutionary Computing
40,cs.NI,Computer Science - Networking and Internet Architecture
44,cs.OH,Computer Science - Other
43,cs.OS,Computer Science - Operating Systems
45,cs.PF,Computer Science - Performance
46,cs.PL,Computer Science - Programming Languages
47,cs.RO,Computer Science - Robotics
50,cs.SC,Computer Science - Symbolic Computation
49,cs.SD,Computer Science - Sound
48,cs.SE,Computer Science - Software Engineering
143,cs.SI,
141,cs.SY,
134,dg-ga,
153,funct-an,
97,gr-qc,General Relativity and Quantum Cosmology
98,hep-ex,High Energy Physics - Experiment
99,hep-lat,High Energy Physics - Lattice
100,hep-ph,High Energy Physics - Phenomenology
101,hep-th,High Energy Physics - Theory
102,math-ph,Mathematical Physics
62,math.AC,Mathematics - Commutative Algebra
56,math.AG,Mathematics - Algebraic Geometry
58,math.AP,Mathematics - Analysis of PDEs
57,math.AT,Mathematics - Algebraic Topology
60,math.CA,Mathematics - Classical Analysis and ODEs
61,math.CO,Mathematics - Combinatorics
59,math.CT,Mathematics - Category Theory
63,math.CV,Mathematics - Complex Variables
64,math.DG,Mathematics - Differential Geometry
65,math.DS,Mathematics - Dynamical Systems
66,math.FA,Mathematics - Functional Analysis
67,math.GM,Mathematics - General Mathematics
68,math.GN,Mathematics - General Topology
70,math.GR,Mathematics - Group Theory
69,math.GT,Mathematics - Geometric Topology
71,math.HO,Mathematics - History and Overview
72,math.IT,Mathematics - Information Theory
73,math.KT,Mathematics - K-Theory and Homology
74,math.LO,Mathematics - Logic
76,math.MG,Mathematics - Metric Geometry
75,math.MP,Mathematics - Mathematical Physics
78,math.NA,Mathematics - Numerical Analysis
77,math.NT,Mathematics - Number Theory
79,math.OA,Mathematics - Operator Algebras
80,math.OC,Mathematics - Optimization and Control
81,math.PR,Mathematics - Probability
82,math.QA,Mathematics - Quantum Algebra
84,math.RA,Mathematics - Rings and Algebras
83,math.RT,Mathematics - Representation Theory
87,math.SG,Mathematics - Symplectic Geometry
85,math.SP,Mathematics - Spectral Theory
86,math.ST,Mathematics - Statistics
161,mtrl-th,
51,nlin.AO,Nonlinear Sciences - Adaptation and Self-Organizing Systems
53,nlin.CD,Nonlinear Sciences - Chaotic Dynamics
